Year,Gender,Age_group,Registration_rate
1996,All,0-24,3.51178313
1997,All,0-24,2.34045873
1998,All,0-24,2.838087129
1999,All,0-24,2.844363538
2000,All,0-24,2.347017155
2001,All,0-24,2.194488295
2002,All,0-24,2.9998814
2003,All,0-24,3.018329492
2004,All,0-24,1.562935328
2005,All,0-24,1.96550205
2006,All,0-24,2.075105429
2007,All,0-24,1.464733219
2008,All,0-24,2.186501994
2009,All,0-24,1.57936299
2010,All,0-24,2.022429394
2011,All,0-24,1.235756283
2012,All,0-24,1.56397641
2013,All,0-24,1.365755946
2014,All,0-24,1.418019156
2015,All,0-24,1.146642884
1996,Female,0-24,4.024360797
1997,Female,0-24,3.482854199
1998,Female,0-24,3.633404064
1999,Female,0-24,3.354676857
2000,Female,0-24,3.214212664
2001,Female,0-24,2.89155233
2002,Female,0-24,3.282057136
2003,Female,0-24,4.077615298
2004,Female,0-24,1.812377142
2005,Female,0-24,2.504103948
2006,Female,0-24,2.318445278
2007,Female,0-24,1.901089052
2008,Female,0-24,2.842908973
2009,Female,0-24,1.482559707
2010,Female,0-24,2.141929611
2011,Female,0-24,1.871582691
2012,Female,0-24,2.145721298
2013,Female,0-24,1.729620415
2014,Female,0-24,1.322558887
2015,Female,0-24,0.787256934
1996,Male,0-24,3.017670617
1997,Male,0-24,1.248474087
1998,Male,0-24,2.079463221
1999,Male,0-24,2.358883277
2000,Male,0-24,1.524411369
2001,Male,0-24,1.525764616
2002,Male,0-24,2.73000273
2003,Male,0-24,2.00918869
2004,Male,0-24,1.325697317
2005,Male,0-24,1.453834157
2006,Male,0-24,1.840531125
2007,Male,0-24,1.045000327
2008,Male,0-24,1.557248342
2009,Male,0-24,1.671724706
2010,Male,0-24,1.908858375
2011,Male,0-24,0.633312223
2012,Male,0-24,1.014083079
2013,Male,0-24,1.017798756
2014,Male,0-24,1.508769724
2015,Male,0-24,1.485773717
1996,All,25-44,29.62874639
1997,All,25-44,26.73588579
1998,All,25-44,22.07943421
1999,All,25-44,24.58959618
2000,All,25-44,29.10751479
2001,All,25-44,28.22486385
2002,All,25-44,30.67246131
2003,All,25-44,28.23501141
2004,All,25-44,26.28537181
2005,All,25-44,28.31742981
2006,All,25-44,23.84576357
2007,All,25-44,26.65331172
2008,All,25-44,25.26028332
2009,All,25-44,23.83902251
2010,All,25-44,26.11010615
2011,All,25-44,22.29816318
2012,All,25-44,19.57616324
2013,All,25-44,24.73841097
2014,All,25-44,19.09402728
2015,All,25-44,17.84611741
1996,Female,25-44,36.30621294
1997,Female,25-44,29.44909876
1998,Female,25-44,26.76993013
1999,Female,25-44,28.15856476
2000,Female,25-44,32.70576672
2001,Female,25-44,32.21908981
2002,Female,25-44,36.8404307
2003,Female,25-44,32.28168264
2004,Female,25-44,30.70488457
2005,Female,25-44,34.27677665
2006,Female,25-44,27.53115582
2007,Female,25-44,30.9202454
2008,Female,25-44,30.61829196
2009,Female,25-44,26.56064405
2010,Female,25-44,29.51944325
2011,Female,25-44,26.6194901
2012,Female,25-44,24.05321567
2013,Female,25-44,33.3842205
2014,Female,25-44,23.63554653
